Country,Mentions
France,41
Australia,37
China,35
United Kingdom,31
United States,30
Ghana,22
Spain,22
Germany,19
Kenya,19
Portugal,19
Brazil,18
India,18
South Africa,17
Nigeria,17
Zambia,16
Ethiopia,13
Netherlands,13
Ukraine,12
Mexico,11
Japan,10
Colombia,10
Belgium,10
Peru,10
Grenada,10
Chile,9
Argentina,9
Indonesia,9
Canada,8
Morocco,8
Philippines,8
